/home/default/CV_DL/11. behaviour cloning/data/IMG/center_2019_03_27_17_48_38_948.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/left_2019_03_27_17_48_38_948.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/right_2019_03_27_17_48_38_948.jpg, 0, 0, 0, 8.214108E-05
/home/default/CV_DL/11. behaviour cloning/data/IMG/center_2019_03_27_17_48_39_052.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/left_2019_03_27_17_48_39_052.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/right_2019_03_27_17_48_39_052.jpg, 0, 0, 0, 7.858902E-05
/home/default/CV_DL/11. behaviour cloning/data/IMG/center_2019_03_27_17_48_39_152.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/left_2019_03_27_17_48_39_152.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/right_2019_03_27_17_48_39_152.jpg, 0, 0, 0, 7.783364E-05
/home/default/CV_DL/11. behaviour cloning/data/IMG/center_2019_03_27_17_48_39_263.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/left_2019_03_27_17_48_39_263.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/right_2019_03_27_17_48_39_263.jpg, 0, 0, 0, 7.994882E-05
/home/default/CV_DL/11. behaviour cloning/data/IMG/center_2019_03_27_17_48_39_367.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/left_2019_03_27_17_48_39_367.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/right_2019_03_27_17_48_39_367.jpg, 0, 0, 0, 7.800178E-05
/home/default/CV_DL/11. behaviour cloning/data/IMG/center_2019_03_27_17_48_39_467.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/left_2019_03_27_17_48_39_467.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/right_2019_03_27_17_48_39_467.jpg, 0, 0, 0, 7.814892E-05
/home/default/CV_DL/11. behaviour cloning/data/IMG/center_2019_03_27_17_48_39_583.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/left_2019_03_27_17_48_39_583.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/right_2019_03_27_17_48_39_583.jpg, 0, 0, 0, 7.828703E-05
/home/default/CV_DL/11. behaviour cloning/data/IMG/center_2019_03_27_17_48_39_688.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/left_2019_03_27_17_48_39_688.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/right_2019_03_27_17_48_39_688.jpg, 0, 0, 0, 7.818726E-05
/home/default/CV_DL/11. behaviour cloning/data/IMG/center_2019_03_27_17_48_39_800.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/left_2019_03_27_17_48_39_800.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/right_2019_03_27_17_48_39_800.jpg, 0, 0, 0, 7.796177E-05
/home/default/CV_DL/11. behaviour cloning/data/IMG/center_2019_03_27_17_48_39_903.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/left_2019_03_27_17_48_39_903.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/right_2019_03_27_17_48_39_903.jpg, 0, 0, 0, 7.861698E-05
/home/default/CV_DL/11. behaviour cloning/data/IMG/center_2019_03_27_17_48_40_012.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/left_2019_03_27_17_48_40_012.jpg, /home/default/CV_DL/11. behaviour cloning/data/IMG/right_2019_03_27_17_48_40_012.jpg, 0, 0, 0, 7.803265E-05
